Port:              P008
Site:              Portsmouth
Latitude:          50.80256
Longitude:         -1.11175
Start Date:        01MAY2021-00.00.00
End Date:          31MAY2021-23.45.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
  Cycle    Date      Time    ASLVBG02   Residual  
 Number yyyy mm dd hh mi ssf         f          f 
   115) 2021/05/02 04:30:00     4.294      0.157  
   116) 2021/05/02 04:45:00     4.194      0.180  
   117) 2021/05/02 05:00:00     4.025      0.178  
   118) 2021/05/02 05:15:00     3.801      0.162  
   119) 2021/05/02 05:30:00     3.549      0.155  
   120) 2021/05/02 05:45:00     3.269      0.148  
   121) 2021/05/02 06:00:00     2.969      0.142  
   122) 2021/05/02 06:15:00     2.660      0.140  
   123) 2021/05/02 06:30:00     2.339      0.130  
   124) 2021/05/02 06:45:00     2.019      0.113  
   125) 2021/05/02 07:00:00     1.716      0.089  
   126) 2021/05/02 07:15:00     1.455      0.066  
   127) 2021/05/02 07:30:00     1.246      0.038  
   128) 2021/05/02 07:45:00     1.105      0.013  
   129) 2021/05/02 08:00:00     1.053      0.009  
   130) 2021/05/02 08:15:00     1.071      0.015  
   131) 2021/05/02 08:30:00     1.127      0.012  
   132) 2021/05/02 08:45:00     1.210      0.007  
   133) 2021/05/02 09:00:00     1.311      0.005  
   134) 2021/05/02 09:15:00     1.428      0.017  
   135) 2021/05/02 09:30:00     1.551      0.038  
   136) 2021/05/02 09:45:00     1.664      0.059  
   137) 2021/05/02 10:00:00     1.765      0.077  
   138) 2021/05/02 10:15:00     1.854      0.093  
   139) 2021/05/02 10:30:00     1.927      0.101  
   140) 2021/05/02 10:45:00     1.984      0.098  
   141) 2021/05/02 11:00:00     2.031      0.082  
   142) 2021/05/02 11:15:00     2.085      0.062  
   143) 2021/05/02 11:30:00     2.160      0.044  
   144) 2021/05/02 11:45:00     2.267      0.032  
   145) 2021/05/02 12:00:00     2.409      0.028  
   146) 2021/05/02 12:15:00     2.576      0.025  
   147) 2021/05/02 12:30:00     2.763      0.023  
   148) 2021/05/02 12:45:00     2.957      0.016  
   149) 2021/05/02 13:00:00     3.151      0.004  
   150) 2021/05/02 13:15:00     3.348     -0.006  
   151) 2021/05/02 13:30:00     3.545     -0.012  
   152) 2021/05/02 13:45:00     3.739     -0.011  
   153) 2021/05/02 14:00:00     3.907     -0.019  
   154) 2021/05/02 14:15:00     4.063     -0.013  
   155) 2021/05/02 14:30:00     4.191     -0.001  
   156) 2021/05/02 14:45:00     4.294      0.024  
   157) 2021/05/02 15:00:00     4.366      0.054  
   158) 2021/05/02 15:15:00     4.405      0.079  
   159) 2021/05/02 15:30:00     4.410      0.088  
   160) 2021/05/02 15:45:00     4.385      0.074  
   161) 2021/05/02 16:00:00     4.342      0.044  
   162) 2021/05/02 16:15:00     4.312      0.030  
   163) 2021/05/02 16:30:00     4.288      0.034  
   164) 2021/05/02 16:45:00     4.266      0.061  
   165) 2021/05/02 17:00:00     4.223      0.099  
   166) 2021/05/02 17:15:00     4.132      0.126  
   167) 2021/05/02 17:30:00     3.978      0.128  
   168) 2021/05/02 17:45:00     3.774      0.115  
   169) 2021/05/02 18:00:00     3.539      0.099  
   170) 2021/05/02 18:15:00     3.284      0.086  
   171) 2021/05/02 18:30:00     3.020      0.081  
   172) 2021/05/02 18:45:00     2.744      0.076  
   173) 2021/05/02 19:00:00     2.465      0.071  
   174) 2021/05/02 19:15:00     2.192      0.063  
   175) 2021/05/02 19:30:00     1.939      0.051  
   176) 2021/05/02 19:45:00     1.723      0.036  
   177) 2021/05/02 20:00:00     1.556      0.017  
   178) 2021/05/02 20:15:00     1.444     -0.005  
   179) 2021/05/02 20:30:00     1.402     -0.014  
   180) 2021/05/02 20:45:00     1.422     -0.009  
   181) 2021/05/02 21:00:00     1.482      0.001  
   182) 2021/05/02 21:15:00     1.557      0.004  
   183) 2021/05/02 21:30:00     1.631     -0.004  
   184) 2021/05/02 21:45:00     1.710     -0.010  
   185) 2021/05/02 22:00:00     1.785     -0.018  
   186) 2021/05/02 22:15:00     1.870     -0.010  
   187) 2021/05/02 22:30:00     1.951      0.001  
   188) 2021/05/02 22:45:00     2.031      0.018  
   189) 2021/05/02 23:00:00     2.097      0.028  
   190) 2021/05/02 23:15:00     2.152      0.029  
   191) 2021/05/02 23:30:00     2.201      0.020  
   192) 2021/05/02 23:45:00     2.259      0.009  
   193) 2021/05/03 00:00:00     2.342      0.005  
   194) 2021/05/03 00:15:00     2.457      0.010  
   195) 2021/05/03 00:30:00     2.595      0.016  
   196) 2021/05/03 00:45:00     2.753      0.022  
   197) 2021/05/03 01:00:00     2.921      0.024  
   198) 2021/05/03 01:15:00     3.090      0.018  
   199) 2021/05/03 01:30:00     3.264      0.012  
   200) 2021/05/03 01:45:00     3.439      0.008  
